,feature,factor,value,view
181,CALCRL,Factor1,0.344795229354341,mRNA
182,WDR3,Factor1,0.00280722112606845,mRNA
183,PKN2,Factor1,0.00601377305685368,mRNA
184,TRAM2,Factor1,0.271317954997601,mRNA
185,NTN1,Factor1,0.245252903772096,mRNA
186,KARS1,Factor1,0.00251917732991781,mRNA
187,NDUFB4,Factor1,0.00134661261171189,mRNA
188,MYLK,Factor1,0.35221711674237,mRNA
189,ZC3H15_mRNA,Factor1,0.00262443443658113,mRNA
190,PACC1,Factor1,0.00956231853242113,mRNA
191,SLC9A7,Factor1,0.0248544173101417,mRNA
192,YBX1,Factor1,0.013281709571384,mRNA
193,NFYC,Factor1,0.000482705169211912,mRNA
194,ZMYND12,Factor1,0.0188127366724656,mRNA
195,SLC9A3,Factor1,0.212239323634626,mRNA
196,POLR1H,Factor1,0.00102525230645319,mRNA
197,FGFR2,Factor1,0.0102752823207118,mRNA
198,ARFGEF1,Factor1,0.000537144302937089,mRNA
199,ZFAT,Factor1,0.00110121545322775,mRNA
200,MTFR1,Factor1,0.00258082802048595,mRNA
201,STAG3,Factor1,0.0122858593526905,mRNA
202,IDI1,Factor1,0.0155892065394127,mRNA
203,KLF6,Factor1,0.0129251833720617,mRNA
204,PLPP1,Factor1,0.010398832512255,mRNA
205,TRAM1,Factor1,0.0805700701130354,mRNA
206,PHKA1,Factor1,0.0232506268865875,mRNA
207,DNTTIP2,Factor1,0.00467808725169576,mRNA
208,RRP15,Factor1,0.00163653481175456,mRNA
209,NAV3,Factor1,0.19972072799218,mRNA
210,ROGDI,Factor1,0.0365458299068765,mRNA
211,CBFB,Factor1,0.010217508094788,mRNA
212,HDAC4,Factor1,0.0338157155300986,mRNA
213,TBC1D25,Factor1,0.0727911088732376,mRNA
214,PRR11,Factor1,0.131245172898724,mRNA
215,REEP1,Factor1,0.0210004078205751,mRNA
216,POLR1A,Factor1,0.0100964508843511,mRNA
217,SIRT2,Factor1,0.00372468505237701,mRNA
218,ERLEC1,Factor1,0.00172328360606075,mRNA
219,PPP2R5B,Factor1,0.14125111959217,mRNA
220,PITX1,Factor1,0.015603424595356,mRNA
221,SDK2,Factor1,0.268328463749376,mRNA
222,GAL,Factor1,0.0856075414413942,mRNA
223,DRD4,Factor1,0.010482808718798,mRNA
224,LRP6,Factor1,0.0021151773291456,mRNA
225,PHRF1,Factor1,0.0136952510681798,mRNA
226,NUCB2,Factor1,0.167676385806705,mRNA
227,ZXDC,Factor1,0.0124966026655847,mRNA
228,WIPI1,Factor1,0.10271700253979,mRNA
229,NDST1,Factor1,0.294775003828762,mRNA
230,CNGB1,Factor1,0.085213578233553,mRNA
231,TESK2,Factor1,0.0293234408247031,mRNA
232,CSNK2A2,Factor1,0.000968543596260203,mRNA
233,TCOF1,Factor1,0.000605168792688123,mRNA
